Datum,Prokliky,Zobrazení,CTR,Pozice
2026-05-13,1,3,33.33%,3.7
2026-05-14,1,3,33.33%,2
2026-05-15,3,7,42.86%,25.3
2026-05-16,8,21,38.1%,2.7
2026-05-17,6,34,17.65%,3.3
2026-05-18,1,24,4.17%,5.1
2026-05-19,5,47,10.64%,5.3
2026-05-20,5,50,10%,4.5
2026-05-21,1,65,1.54%,5.9
2026-05-22,5,43,11.63%,7
2026-05-23,3,39,7.69%,10.7
2026-05-24,2,60,3.33%,6.7
2026-05-25,5,91,5.49%,9.7
2026-05-26,3,98,3.06%,7
2026-05-27,4,86,4.65%,7.1
2026-05-28,1,65,1.54%,8.3
2026-05-29,4,88,4.55%,10.5
2026-05-30,2,70,2.86%,11.7
2026-05-31,2,75,2.67%,11.4
2026-06-01,5,119,4.2%,10.3
2026-06-02,3,83,3.61%,7.5
2026-06-03,4,75,5.33%,9.4
2026-06-04,2,95,2.11%,7.7
2026-06-05,1,83,1.2%,7.6
2026-06-06,2,51,3.92%,8.8
2026-06-07,2,65,3.08%,7.4
2026-06-08,6,84,7.14%,8.1
2026-06-09,6,104,5.77%,9.1
2026-06-10,2,94,2.13%,7
2026-06-11,4,96,4.17%,7.5
2026-06-12,5,143,3.5%,8.2
2026-06-13,11,140,7.86%,8.1
2026-06-14,4,132,3.03%,7
2026-06-15,11,162,6.79%,7.7
2026-06-16,6,198,3.03%,11.7
2026-06-17,6,187,3.21%,8.7
2026-06-18,5,194,2.58%,8.3
2026-06-19,4,190,2.11%,11.2
2026-06-20,4,139,2.88%,9.2
2026-06-21,3,155,1.94%,8.2
2026-06-22,10,233,4.29%,10.3
2026-06-23,3,223,1.35%,10
2026-06-24,5,165,3.03%,9.8
2026-06-25,1,181,0.55%,10.3
2026-06-26,3,194,1.55%,10
2026-06-27,0,148,0%,11.9
2026-06-28,6,187,3.21%,11.6
2026-06-29,13,252,5.16%,8.1
2026-06-30,9,314,2.87%,9.9
2026-07-01,6,292,2.05%,9.1
2026-07-02,5,264,1.89%,8.5
2026-07-03,15,293,5.12%,9.2
2026-07-04,3,225,1.33%,10.2
2026-07-05,5,194,2.58%,10.7
2026-07-06,6,320,1.88%,8.5
2026-07-07,11,349,3.15%,10
2026-07-08,9,311,2.89%,8.1
2026-07-09,8,292,2.74%,8.9
2026-07-10,7,297,2.36%,9.4
2026-07-11,4,208,1.92%,11.6
2026-07-12,5,269,1.86%,8.2
2026-07-13,8,314,2.55%,8.5
2026-07-14,7,343,2.04%,8.5
2026-07-15,5,331,1.51%,8.2
2026-07-16,7,347,2.02%,9
2026-07-17,6,299,2.01%,8.4
2026-07-18,7,239,2.93%,9.5
2026-07-19,15,324,4.63%,9.8
2026-07-20,12,403,2.98%,8.1
2026-07-21,13,406,3.2%,8.9
2026-07-22,7,438,1.6%,9
2026-07-23,11,362,3.04%,7.3
2026-07-24,10,406,2.46%,8.8
2026-07-25,8,298,2.68%,9.4
