Země,Prokliky,Zobrazení,CTR,Pozice
Česko,355,11832,3%,9.04
Německo,9,202,4.46%,5.85
Nizozemsko,7,185,3.78%,6.49
Spojené království,7,121,5.79%,9.19
USA,2,314,0.64%,8.9
Slovensko,2,72,2.78%,9.32
Chorvatsko,2,12,16.67%,6.42
Rumunsko,2,10,20%,6.8
Rakousko,1,25,4%,5.72
Indie,1,24,4.17%,7.79
Španělsko,1,18,5.56%,7.56
Finsko,1,16,6.25%,8.38
Irsko,1,16,6.25%,11.62
Francie,1,12,8.33%,6.67
Turecko,1,12,8.33%,8
Brazílie,1,12,8.33%,13.75
Belgie,1,11,9.09%,4.18
Izrael,1,11,9.09%,9.91
Malajsie,1,10,10%,19.1
Austrálie,1,9,11.11%,8.33
Švýcarsko,1,9,11.11%,8.44
Portugalsko,1,9,11.11%,11.56
Filipíny,1,7,14.29%,16.43
Srbsko,1,6,16.67%,8.33
Mexiko,1,4,25%,5.25
Nový Zéland,1,3,33.33%,2.33
Slovinsko,1,3,33.33%,3.67
Island,1,3,33.33%,8.67
Čína,1,2,50%,10.5
Arménie,1,1,100%,84
Polsko,0,48,0%,9.02
Itálie,0,39,0%,6.31
Norsko,0,25,0%,10.76
Švédsko,0,21,0%,9.29
Vietnam,0,18,0%,24.39
Dánsko,0,17,0%,10.88
Kanada,0,12,0%,9.08
Maďarsko,0,10,0%,7
Řecko,0,10,0%,11.2
Rusko,0,8,0%,12.88
Ázerbájdžán,0,7,0%,4.71
Bulharsko,0,7,0%,16.71
Ukrajina,0,5,0%,3
Thajsko,0,5,0%,5.6
Jižní Korea,0,4,0%,8.25
Indonésie,0,4,0%,16
Pákistán,0,4,0%,19.25
Bangladéš,0,4,0%,27.25
Gruzie,0,3,0%,6
Kypr,0,3,0%,8.33
Moldavsko,0,3,0%,8.33
Malta,0,3,0%,8.33
Hongkong,0,3,0%,8.67
Singapur,0,3,0%,10
Argentina,0,3,0%,17
Kolumbie,0,3,0%,23
Litva,0,2,0%,1
Bělorusko,0,2,0%,5
Japonsko,0,2,0%,6
Bosna a Hercegovina,0,2,0%,8
Estonsko,0,2,0%,8.5
Saúdská Arábie,0,2,0%,10
Egypt,0,2,0%,25.5
Maroko,0,2,0%,27
Tchaj-wan,0,1,0%,2
Albánie,0,1,0%,5
Bahrajn,0,1,0%,5
Kostarika,0,1,0%,7
Lucembursko,0,1,0%,7
Chile,0,1,0%,8
Panama,0,1,0%,8
Peru,0,1,0%,8
Salvador,0,1,0%,8
Jihoafrická republika,0,1,0%,8
Lotyšsko,0,1,0%,9
Myanmar (Barma),0,1,0%,10
Nigérie,0,1,0%,10
Katar,0,1,0%,10
Paraguay,0,1,0%,11
Libanon,0,1,0%,12
Černá Hora,0,1,0%,17
Spojené arabské emiráty,0,1,0%,19
Guernsey,0,1,0%,29
Jordánsko,0,1,0%,30
